bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-A2-A0CX-01A	TCGA-A2-A0CX-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CX-01A	TCGA-A2-A0CX-01A-21W	[Not Available]	[Not Available]	[Not Available]
TCGA-A2-A0CX-01A	TCGA-A2-A0CX-01A-21X	[Not Available]	[Not Available]	[Not Available]
TCGA-A2-A0CX-10A	TCGA-A2-A0CX-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CX-10A	TCGA-A2-A0CX-10A-01W	[Not Available]	[Not Available]	[Not Available]
TCGA-A2-A0CX-10A	TCGA-A2-A0CX-10A-01X	[Not Available]	[Not Available]	[Not Available]
TCGA-A2-A0CY-01A	TCGA-A2-A0CY-01A-12D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CY-01A	TCGA-A2-A0CY-01A-12R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CY-01A	TCGA-A2-A0CY-01A-12W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CY-01A	TCGA-A2-A0CY-01A-12X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CY-10A	TCGA-A2-A0CY-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CY-10A	TCGA-A2-A0CY-10A-01W	Genomplex	[Not Available]	[Not Available]
TCGA-A2-A0CY-10A	TCGA-A2-A0CY-10A-01X	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CZ-01A	TCGA-A2-A0CZ-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0CZ-01A	TCGA-A2-A0CZ-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0CZ-01A	TCGA-A2-A0CZ-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CZ-01A	TCGA-A2-A0CZ-01A-11X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0CZ-10A	TCGA-A2-A0CZ-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0CZ-10A	TCGA-A2-A0CZ-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0CZ-10A	TCGA-A2-A0CZ-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0D0-01A	TCGA-A2-A0D0-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0D0-01A	TCGA-A2-A0D0-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0D0-01A	TCGA-A2-A0D0-01A-11W	[Not Available]	[Not Available]	[Not Available]
TCGA-A2-A0D0-01A	TCGA-A2-A0D0-01A-11X	[Not Available]	[Not Available]	[Not Available]
TCGA-A2-A0D0-10A	TCGA-A2-A0D0-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0D0-10A	TCGA-A2-A0D0-10A-01W	[Not Available]	[Not Available]	[Not Available]
TCGA-A2-A0D0-10A	TCGA-A2-A0D0-10A-01X	[Not Available]	[Not Available]	[Not Available]
TCGA-A2-A0D1-01A	TCGA-A2-A0D1-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-A2-A0D1-01A	TCGA-A2-A0D1-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-A2-A0D1-01A	TCGA-A2-A0D1-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0D1-01A	TCGA-A2-A0D1-01A-11X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0D1-10A	TCGA-A2-A0D1-10A-01D	tssDNA	[Not Available]	[Not Available]
TCGA-A2-A0D1-10A	TCGA-A2-A0D1-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-A2-A0D1-10A	TCGA-A2-A0D1-10A-01X	Repli-G X	[Not Available]	[Not Available]
TCGA-A2-A0D2-01A	TCGA-A2-A0D2-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
