bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment	bcr_shipment_portion_uuid	center_id	plate_id	portion_number
TCGA-E2-A14V-01A	TCGA-E2-A14V-01A-21-A13E-20	18	3	2011	40a19899-83c4-44c1-8e91-c4b4339d7ea8	20	A13E	21
TCGA-E2-A14W-01A	TCGA-E2-A14W-01A-21-A13E-20	18	3	2011	de3f269f-cfa8-4ff2-bd60-14ffe2a45d83	20	A13E	21
TCGA-E2-A14X-01A	TCGA-E2-A14X-01A-21-A13E-20	18	3	2011	29a42295-97db-4c28-885f-801d655b5b0f	20	A13E	21
TCGA-E2-A14Y-01A	TCGA-E2-A14Y-01A-11-A13E-20	18	3	2011	173f9cd2-092c-479a-b9f2-f58ebd0ffa69	20	A13E	11
TCGA-E2-A14Z-01A	TCGA-E2-A14Z-01A-21-A13E-20	17	3	2011	5a68a63e-17ae-4bd8-ab5d-0451e8ae8cc1	20	A13E	21
TCGA-E2-A150-01A	TCGA-E2-A150-01A-21-A13E-20	18	3	2011	c44ec1a9-cea5-46a0-b2c5-1686127fd1eb	20	A13E	21
TCGA-E2-A152-01A	TCGA-E2-A152-01A-21-A13E-20	18	3	2011	f726d427-03ec-4234-b1e1-fec426bb46ac	20	A13E	21
TCGA-E2-A153-01A	TCGA-E2-A153-01A-21-A13E-20	18	3	2011	e93fc765-47be-401c-bbbb-8b3e16ae7c65	20	A13E	21
TCGA-E2-A154-01A	TCGA-E2-A154-01A-21-A13E-20	18	3	2011	9f67c05d-d95e-4932-bace-78ee0cfbf304	20	A13E	21
TCGA-E2-A155-01A	TCGA-E2-A155-01A-21-A13E-20	18	3	2011	89f9e8d3-6526-4680-a393-c6b3b997599d	20	A13E	21
TCGA-E2-A156-01A	TCGA-E2-A156-01A-21-A13E-20	17	3	2011	eafe692c-6651-466b-a92c-1ed965eba047	20	A13E	21
TCGA-E2-A158-01A	TCGA-E2-A158-01A-21-A13E-20	18	3	2011	cc34e050-b748-413b-a5ec-064c216e98c3	20	A13E	21
TCGA-E2-A159-01A	TCGA-E2-A159-01A-21-A13E-20	18	3	2011	c9662a04-c4e9-42c3-989f-cade253340dc	20	A13E	21
TCGA-E2-A15A-01A	TCGA-E2-A15A-01A-21-A13E-20	17	3	2011	eee0fe49-2254-4347-b328-49a69bea7619	20	A13E	21
TCGA-E2-A15C-01A	TCGA-E2-A15C-01A-21-A13E-20	18	3	2011	b003e078-2c0b-42bc-ad2e-adb171765c57	20	A13E	21
TCGA-E2-A15D-01A	TCGA-E2-A15D-01A-21-A13E-20	18	3	2011	0a257700-c228-4e46-9b2d-af39db001515	20	A13E	21
TCGA-E2-A15E-01A	TCGA-E2-A15E-01A-21-A13E-20	18	3	2011	d0c1fe33-e7c4-4705-9a97-1520151d4ffb	20	A13E	21
TCGA-E2-A15F-01A	TCGA-E2-A15F-01A-21-A13E-20	18	3	2011	3d2f1976-cf0a-4cab-817a-92301b6d9275	20	A13E	21
TCGA-E2-A15G-01A	TCGA-E2-A15G-01A-21-A13E-20	18	3	2011	1af0a946-026d-4dbb-b52d-db12449e4c31	20	A13E	21
TCGA-E2-A15H-01A	TCGA-E2-A15H-01A-21-A13E-20	18	3	2011	f381f799-7861-47be-b54f-26a1e5236887	20	A13E	21
TCGA-E2-A15I-01A	TCGA-E2-A15I-01A-11-A17I-20	27	7	2011	6BE5E02D-4E5B-4B24-B603-4512DFF0F17C	20	A17I	11
TCGA-E2-A15J-01A	TCGA-E2-A15J-01A-21-A13E-20	18	3	2011	ffe06b3a-f290-463c-bb0e-994c0679f8be	20	A13E	21
TCGA-E2-A15K-01A	TCGA-E2-A15K-01A-21-A13E-20	18	3	2011	1afef343-eb28-46d1-ba40-2475188b33c5	20	A13E	21
TCGA-E2-A15L-01A	TCGA-E2-A15L-01A-21-A13E-20	18	3	2011	bf925eb7-7a5b-44b2-9ace-627782f168c3	20	A13E	21
TCGA-E2-A15M-01A	TCGA-E2-A15M-01A-21-A13E-20	18	3	2011	52e4ab39-3d51-4623-a65a-09a99017e96b	20	A13E	21
TCGA-E2-A15O-01A	TCGA-E2-A15O-01A-21-A13E-20	18	3	2011	538d33c5-6bc8-4cda-950b-93c16e500d48	20	A13E	21
